Optical efficiency,Field efficiency,DNI corrected efficiency
0.669133826765353,0.08445406836569752,5.29960094967837
0.618047218887555,0.25140178029287297,108.4235747180801
0.6313872305979965,0.4248756449828649,272.1127769770349
0.6188533627342888,0.5212686228581075,391.17674467819216
0.5923056722689075,0.5102464637897207,414.10420964294394
0.5376721956705088,0.48908803660928307,413.4099773550723
0.5256970610399397,0.47097774504990997,405.2106377998718
0.5244891826923077,0.4717736578125799,405.9039528776778
0.5417785946557331,0.4903250129627206,414.4829865880097
0.5877273321993981,0.508528665260414,412.76015706022287
0.629428697962799,0.5275042959402046,395.8228983081871
0.638429542457137,0.4274823518818655,273.76789146006433
0.6142842852855857,0.2493704036908881,107.53236179982659
0.6683341670835418,0.084035665706656,5.2538043304145186
